module,parameter_name,expanded_key,type,baseline_value,lower_bound,upper_bound,distribution,source,source_quote_or_reference,scale,codebase_fidelity_note,rationale,sensitivity_method,included_in_sobol,included_in_oat,included_in_scenario_matrix,notes
M3,cohort_population_shares,adversarial_whales,"typing.Dict[str, float]",0.05,0.025,0.07500000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,claim_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M3,claim_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.4,0.2,0.6000000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M3,claim_rate_by_cohort,power_users,"typing.Dict[str, float]",0.8,0.4,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M3,claim_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",1.0,0.5,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: adversarial_whales
M3,verification_pass_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,verification_pass_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.7,0.35,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,verification_pass_rate_by_cohort,power_users,"typing.Dict[str, float]",0.9,0.45,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M3,verification_pass_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",1.0,0.5,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,acr_issue_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",10.0,5.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,acr_issue_rate_by_cohort,active_viewers,"typing.Dict[str, float]",50.0,25.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,acr_issue_rate_by_cohort,power_users,"typing.Dict[str, float]",200.0,100.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M3,acr_issue_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",100.0,50.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,ongoing_acr_issue_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",1.0,0.5,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,ongoing_acr_issue_rate_by_cohort,active_viewers,"typing.Dict[str, float]",5.0,2.5,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,ongoing_acr_issue_rate_by_cohort,power_users,"typing.Dict[str, float]",20.0,10.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M3,ongoing_acr_issue_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",10.0,5.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,vesting_lag_epochs,N/A,int,4,2.0,6.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,vesting_sub_cohort_phases,N/A,int,4,2.0,6.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,acr_epoch_budget,N/A,float,150000.0,75000.0,225000.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_tenure_weight,N/A,float,0.35,0.175,0.5249999999999999,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_activity_weight,N/A,float,0.35,0.175,0.5249999999999999,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_referral_weight,N/A,float,0.15,0.075,0.22499999999999998,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_diversity_weight,N/A,float,0.15,0.075,0.22499999999999998,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_action_cap,N/A,float,0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_ml_anomaly_gamma,N/A,float,0.95,0.475,1.4249999999999998,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pcs_calibration_factor,N/A,float,200.0,100.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,pagerank_cap,N/A,float,0.8,0.4,1.2000000000000002,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,cohort_referral_scores,passive_viewers,"typing.Dict[str, float]",0.05,0.025,0.07500000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,cohort_referral_scores,active_viewers,"typing.Dict[str, float]",0.2,0.1,0.30000000000000004,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,cohort_referral_scores,power_users,"typing.Dict[str, float]",0.8,0.4,1.2000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M3,cohort_referral_scores,adversarial_whales,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,cohort_diversity_scores,passive_viewers,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,cohort_diversity_scores,active_viewers,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,cohort_diversity_scores,power_users,"typing.Dict[str, float]",0.9,0.45,1.35,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M3,cohort_diversity_scores,adversarial_whales,"typing.Dict[str, float]",0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,bas_lambda,N/A,float,0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,velocity_scale,N/A,float,1.0,0.5,1.5,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,tier_sr_modifiers,Bronze,"typing.Dict[str, float]",1.0,0.5,1.5,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Bronze
M3,tier_sr_modifiers,Silver,"typing.Dict[str, float]",1.1,0.55,1.6500000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Silver
M3,tier_sr_modifiers,Gold,"typing.Dict[str, float]",1.2,0.6,1.7999999999999998,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Gold
M3,tier_sr_modifiers,Platinum,"typing.Dict[str, float]",1.3,0.65,1.9500000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Platinum
M3,tier_thresholds_pcs,Bronze,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Bronze
M3,tier_thresholds_pcs,Silver,"typing.Dict[str, float]",100.0,50.0,150.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Silver
M3,tier_thresholds_pcs,Gold,"typing.Dict[str, float]",500.0,250.0,750.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Gold
M3,tier_thresholds_pcs,Platinum,"typing.Dict[str, float]",1500.0,750.0,2250.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Platinum
M3,tier_min_tenure_epochs,Bronze,"typing.Dict[str, int]",0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Bronze
M3,tier_min_tenure_epochs,Silver,"typing.Dict[str, int]",4,2.0,6.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Silver
M3,tier_min_tenure_epochs,Gold,"typing.Dict[str, int]",8,4.0,12.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Gold
M3,tier_min_tenure_epochs,Platinum,"typing.Dict[str, int]",12,6.0,18.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Platinum
M3,tier_budget_allocations,Bronze,"typing.Dict[str, float]",0.4,0.2,0.6000000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Bronze
M3,tier_budget_allocations,Silver,"typing.Dict[str, float]",0.25,0.125,0.375,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Silver
M3,tier_budget_allocations,Gold,"typing.Dict[str, float]",0.2,0.1,0.30000000000000004,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Gold
M3,tier_budget_allocations,Platinum,"typing.Dict[str, float]",0.15,0.075,0.22499999999999998,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: Platinum
M3,settle_propensity_by_cohort,passive_viewers,"typing.Dict[str, float]",0.0051,0.00255,0.0076500000000000005,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M3,settle_propensity_by_cohort,active_viewers,"typing.Dict[str, float]",0.0102,0.0051,0.015300000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M3,settle_propensity_by_cohort,power_users,"typing.Dict[str, float]",0.0203,0.01015,0.030449999999999998,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M3,settle_propensity_by_cohort,adversarial_whales,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: adversarial_whales
M3,settlement_ratio,N/A,float,0.1047,0.05235,0.15705,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,
M3,settlement_cap_per_epoch,N/A,float,50000.0,25000.0,75000.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,utility_spend_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.0456,0.0228,0.0684,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M3,utility_spend_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.1823,0.09115,0.27344999999999997,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M3,utility_spend_rate_by_cohort,power_users,"typing.Dict[str, float]",0.4557,0.22785,0.68355,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M3,utility_spend_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: adversarial_whales
M3,utility_fee_share,N/A,float,0.34,0.17,0.51,uniform,ZEE PDF Chapter 6 Page 121,Protocol utility fee share set at 15%.,dimensionless,Percentage of user utility spend routed back to the treasury.,Ecosystem dynamics,OAT,False,True,True,
M3,utility_burn_share,N/A,float,0.05,0.025,0.07500000000000001,uniform,ZEE PDF Chapter 6 Page 121,Protocol utility burn share set at 5%.,dimensionless,Percentage of user utility spend permanently burned from supply.,Ecosystem dynamics,OAT,False,True,True,
M3,burn_enabled,N/A,bool,True,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,brand_inflow_per_epoch,N/A,float,112000.0,56000.0,168000.0,uniform,ZEE PDF Chapter 7 Page 134,Optimal brand campaign inflow target of 112k Z1U per epoch.,simulation,"Calibrated simulation-scale inflow, mapped from the nominal inflow.",Ecosystem dynamics,Sobol,True,True,True,
M3,treasury_topup_threshold_ratio,N/A,float,0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,treasury_topup_target_ratio,N/A,float,0.4,0.2,0.6000000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,treasury_topup_cap_ratio_per_epoch,N/A,float,0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,throttle_threshold_ratio,N/A,float,0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,throttle_multiplier_when_stressed,N/A,float,0.5,0.25,0.75,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,vesting_extension_factor,N/A,float,0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,amm_initial_z1u,N/A,float,10000000.0,5000000.0,15000000.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,amm_initial_usd,N/A,float,1000000.0,500000.0,1500000.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,amm_fee_rate,N/A,float,0.003,0.0015,0.0045000000000000005,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,campaign_fee_percentage,N/A,float,0.25,0.125,0.375,uniform,ZEE PDF Chapter 6 Page 125,Brand campaign deposit escrow fee set at 5%.,dimensionless,Upfront fee deducted from campaign deposits and routed to treasury.,Ecosystem dynamics,OAT,False,True,True,
M3,campaign_burn_share,N/A,float,0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,campaign_deposit_per_epoch,N/A,float,112000.0,56000.0,168000.0,uniform,ZEE PDF Chapter 7 Page 134,Optimal brand campaign inflow target of 112k Z1U per epoch.,simulation,Campaign escrow deposit amount matching optimal brand campaign inflow.,Ecosystem dynamics,OAT,False,True,True,
M3,treasury_buyback_ratio,N/A,float,0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,use_dynamic_settlement_ratio,N/A,bool,True,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,cip_budget_per_epoch,N/A,float,10000.0,5000.0,15000.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,vrp_budget_per_epoch,N/A,float,5000.0,2500.0,7500.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,cip_replenishment_per_epoch,N/A,float,10000.0,5000.0,15000.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,operational_cost_per_epoch,N/A,float,5000.0,2500.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,rwa_yield_per_epoch,N/A,float,1000.0,500.0,1500.0,uniform,ZEE PDF Chapter 7 Page 145,Realized RWA yield of 1k USD/epoch from reserves.,simulation,Yield in tokens added directly to the treasury each epoch.,Ecosystem dynamics,OAT,False,True,True,
M3,governance_staking_enabled,N/A,bool,True,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,governance_voting_enabled,N/A,bool,True,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,governance_max_budget_shift_rate,N/A,float,0.05,0.025,0.07500000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,staking_lock_epochs,N/A,int,12,6.0,18.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,staking_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M3,staking_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.05,0.025,0.07500000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M3,staking_rate_by_cohort,power_users,"typing.Dict[str, float]",0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M3,staking_rate_by_cohort,adversarial_whales,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: adversarial_whales
M3,governance_staking_tier_shares,3_epoch,"typing.Dict[str, float]",0.4,0.2,0.6000000000000001,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: 3_epoch
M3,governance_staking_tier_shares,6_epoch,"typing.Dict[str, float]",0.35,0.175,0.5249999999999999,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: 6_epoch
M3,governance_staking_tier_shares,12_epoch,"typing.Dict[str, float]",0.25,0.125,0.375,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: 12_epoch
M3,governance_acr_requirement,N/A,float,100.0,50.0,150.0,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,panic_price_drop_threshold,N/A,float,0.1,0.05,0.15000000000000002,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,panic_settlement_multiplier,N/A,float,5.0,2.5,7.5,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,genesis_buckets,team,"typing.Dict[str, typing.Dict[str, float]]","{'total': 1000000.0, 'cliff_epochs': 12, 'duration_epochs': 36}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: team
M3,genesis_buckets,advisors,"typing.Dict[str, typing.Dict[str, float]]","{'total': 500000.0, 'cliff_epochs': 6, 'duration_epochs': 24}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: advisors
M3,genesis_buckets,seed,"typing.Dict[str, typing.Dict[str, float]]","{'total': 1500000.0, 'cliff_epochs': 12, 'duration_epochs': 24}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: seed
M3,genesis_buckets,private,"typing.Dict[str, typing.Dict[str, float]]","{'total': 2000000.0, 'cliff_epochs': 6, 'duration_epochs': 24}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: private
M3,genesis_buckets,public,"typing.Dict[str, typing.Dict[str, float]]","{'total': 1000000.0, 'cliff_epochs': 0, 'duration_epochs': 12}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: public
M3,genesis_buckets,treasury,"typing.Dict[str, typing.Dict[str, float]]","{'total': 3000000.0, 'cliff_epochs': 0, 'duration_epochs': 48}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: treasury
M3,genesis_buckets,ecosystem,"typing.Dict[str, typing.Dict[str, float]]","{'total': 2000000.0, 'cliff_epochs': 0, 'duration_epochs': 48}",N/A,N/A,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: ecosystem
M3,provider_recirculation_rate,N/A,float,0.2,0.1,0.30000000000000004,uniform,ZEE PDF Chapter 6 Page 118,Provider payment recirculation rate set at 20%.,dimensionless,Determines the fraction of provider payments that remain in the Z1U loop versus sold on AMM.,Ecosystem dynamics,OAT,False,True,True,
M3,provider_amm_sell_enabled,N/A,bool,True,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,genesis_sell_enabled,N/A,bool,True,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M3,genesis_sell_fraction_by_bucket,team,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: team
M3,genesis_sell_fraction_by_bucket,advisors,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: advisors
M3,genesis_sell_fraction_by_bucket,seed,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: seed
M3,genesis_sell_fraction_by_bucket,private,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: private
M3,genesis_sell_fraction_by_bucket,public,"typing.Dict[str, float]",1.0,0.5,1.5,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: public
M3,genesis_sell_fraction_by_bucket,treasury,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: treasury
M3,genesis_sell_fraction_by_bucket,ecosystem,"typing.Dict[str, float]",0.0,0.0,1.0,uniform,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: ecosystem
M3,composite_sr_amm_weight,N/A,float,0.7,0.35,1.0499999999999998,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,composite_sr_ar_weight,N/A,float,0.3,0.15,0.44999999999999996,uniform,M3 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M3,audience_reserve_initial,N/A,float,5000000.0,2500000.0,7500000.0,uniform,ZEE PDF Chapter 6 Page 114,Audience Reserve allocation set at 5.0M Z1U.,nominal,Acts as the initial balance and base for ratio metrics in GlobalState.,Ecosystem dynamics,OAT,False,True,True,
M3,treasury_initial,N/A,float,2500000.0,1250000.0,3750000.0,uniform,ZEE PDF Chapter 6 Page 115,Treasury allocation set at 2.5M Z1U.,nominal,Sets the starting balance for the operational/buyback treasury.,Ecosystem dynamics,OAT,False,True,True,
M3,scale_factor,N/A,float,3.0000003000000297e-05,1.5000001500000149e-05,4.5000004500000446e-05,uniform,ZEE PDF Chapter 6 Page 110,Ecosystem scaling parameter of 3.0e-5.,dimensionless,Converts nominal parameters/balances to simulation-scale bounds.,Ecosystem dynamics,OAT,False,True,True,
M3,bypass_hard_locks,N/A,bool,False,False,True,categorical,M3 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
